Suburb,Average Price,Average Landsize,Average BuildingArea
Abbotsford,1026500,292.4464286,101.5121951
Aberfeldie,1266047.17,514.7727273,167.6653846
Airport West,737177.5794,432.880597,135.2728947
Albanvale,533062.5,501.1666667,123.75
Albert Park,1924388.158,176.6521739,127.1
Albion,602380.4348,545.0243902,112.4583333
Alphington,1298142.857,454.9705882,146.625
Altona,843032.7778,431.8108108,121.2941176
Altona Meadows,631388.8889,507.5,173.475
Altona North,780438.5965,517.125,159.7666667
Ardeer,617400,679.6666667,107
Armadale,1616663.866,396.5052632,125.9026531
Ascot Vale,1043745.562,387.9538462,146.2716049
Ashburton,1659566.667,626.0833333,211.6052632
Ashwood,1116973.288,561,161.2903226
Aspendale,1207571.429,444.5714286,136.3333333
Aspendale Gardens,869333.3333,527.75,169
Attwood,831666.6667,607,227
Avondale Heights,831053.3981,570.5675676,158.3103448
Bacchus Marsh,285000,612,
Balaclava,766681.8182,241.037037,89.13333333
Balwyn,1824173.529,546.2990654,207.2236364
Balwyn North,1749192.093,1100.403509,213.9146341
Bayswater,709690.4762,610.5714286,125.0714286
Bayswater North,722500,629,292.4
Beaconsfield,603500,680,244
Beaconsfield Upper,719500,1031,161
Beaumaris,1551642.857,634.9444444,270.3333333
Bellfield,808704.5455,610.9375,104.6414286
Bentleigh,1277136.935,480.2446043,187.3846154
Bentleigh East,1103215.152,479.5783133,165.1248837
Berwick,780722.2222,710.4615385,244.8341667
Black Rock,1365305.556,460.4166667,128
Blackburn,1319903.333,637.3333333,163.9090909
Blackburn North,1157842.105,623.2857143,204
Blackburn South,1056100,831.75,112
Bonbeach,1078200,494.25,146.25
Boronia,842970.5882,943.2857143,145.1111111
Box Hill,1279567.692,470.9491525,131.4666667
Braybrook,668921.3115,589.2608696,123.862069
Briar Hill,743590.9091,519,162
Brighton,1896783.15,402.6397849,194.113575
Brighton East,1588584.021,531.8695652,194.7496053
Broadmeadows,567855.2632,600.6086957,120.2338889
Brookfield,450500,576,171.5
Brooklyn,606837,383.2,115.6
Brunswick,971226.049,316.954955,121.8304795
Brunswick East,870475.2066,266.2613636,106.096
Brunswick West,795537.8378,327.7909091,111.8552632
Bulleen,1152688.421,595.4929577,385.7428571
Bullengarook,535000,4000,
Bundoora,798135.5932,538.4166667,173.04
Burnley,1132751.25,290.4285714,100
Burnside,618750,546,174
Burnside Heights,574500,457,185
Burwood,1214144.444,562.2117647,163.7511628
Burwood East,1081572.222,519.9375,149.9640143
Cairnlea,678375,467.5714286,195.06
Camberwell,1853581,544.1136364,214.9860611
Campbellfield,473500,647,175
Canterbury,2252470.149,702.6666667,223.06
Carlton,1035687.069,470.8823529,99.06956522
Carlton North,1480603.774,308.9791667,129.6335294
